,pokedex_number,name,generation,status,species,type_number,type_1,type_2,height,weight,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,egg_type_number,egg_type_1,egg_type_2,percentage_male,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
209,164,Noctowl,2,Normal,Owl Pokémon,2,Normal, Flying,1.6002,40.837300000000006,3,Insomnia,Keen Eye,Tinted Lens,452,100,50,50,86,96,70,90.0,70.0,158.0,Medium Fast,1,Flying,,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
210,165,Ledyba,2,Normal,Five Star Pokémon,2,Bug, Flying,0.9906000000000001,10.80974,3,Swarm,Early Bird,Rattled,265,40,20,30,40,80,55,255.0,70.0,53.0,Fast,1,Bug,,50.0,15.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
211,166,Ledian,2,Normal,Five Star Pokémon,2,Bug, Flying,1.397,35.629920000000006,3,Swarm,Early Bird,Iron Fist,390,55,35,50,55,110,85,90.0,70.0,137.0,Fast,1,Bug,,50.0,15.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
212,167,Spinarak,2,Normal,String Spit Pokémon,2,Bug, Poison,0.508,8.507959999999999,3,Swarm,Insomnia,Sniper,250,40,60,40,40,40,30,255.0,70.0,50.0,Fast,1,Bug,,50.0,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
213,168,Ariados,2,Normal,Long Leg Pokémon,2,Bug, Poison,1.0922,33.527899999999995,3,Swarm,Insomnia,Sniper,400,70,90,70,60,70,40,90.0,70.0,140.0,Fast,1,Bug,,50.0,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
214,169,Crobat,2,Normal,Bat Pokémon,2,Poison, Flying,1.8034,75.0689,2,Inner Focus,,Infiltrator,535,85,90,80,70,80,130,90.0,70.0,241.0,Medium Fast,1,Flying,,50.0,15.0,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
215,170,Chinchou,2,Normal,Angler Pokémon,2,Water, Electric,0.508,12.01284,3,Volt Absorb,Illuminate,Water Absorb,330,75,38,38,56,56,67,190.0,70.0,66.0,Slow,1,Water 2,,50.0,20.0,1.0,0.5,0.5,0.0,2.0,0.5,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0
216,171,Lanturn,2,Normal,Light Pokémon,2,Water, Electric,1.1938,22.5184,3,Volt Absorb,Illuminate,Water Absorb,460,125,58,58,76,76,67,75.0,70.0,161.0,Slow,1,Water 2,,50.0,20.0,1.0,0.5,0.5,0.0,2.0,0.5,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0
217,172,Pichu,2,Normal,Tiny Mouse Pokémon,1,Electric,,0.3048,2.0021400000000003,2,Static,,Lightning Rod,205,20,40,15,35,35,60,190.0,70.0,41.0,Medium Fast,0,Undiscovered,,50.0,10.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
218,173,Cleffa,2,Normal,Star Shape Pokémon,1,Fairy,,0.3048,3.0009400000000004,3,Cute Charm,Magic Guard,Friend Guard,218,50,25,28,45,55,15,150.0,140.0,44.0,Fast,0,Undiscovered,,25.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
219,174,Igglybuff,2,Normal,Balloon Pokémon,2,Normal, Fairy,0.3048,0.9988000000000001,3,Cute Charm,Competitive,Friend Guard,210,90,30,15,40,20,15,170.0,70.0,42.0,Fast,0,Undiscovered,,25.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
220,175,Togepi,2,Normal,Spike Ball Pokémon,1,Fairy,,0.3048,1.50274,3,Hustle,Serene Grace,Super Luck,245,35,20,65,40,65,20,190.0,70.0,49.0,Fast,0,Undiscovered,,87.5,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
221,176,Togetic,2,Normal,Happiness Pokémon,2,Fairy, Flying,0.6096,3.2007,3,Hustle,Serene Grace,Super Luck,405,55,40,85,80,105,40,75.0,70.0,142.0,Fast,2,Fairy, Flying,87.5,10.0,1.0,1.0,1.0,2.0,0.5,2.0,0.25,2.0,0.0,1.0,1.0,0.25,2.0,1.0,0.0,0.5,2.0,1.0
222,177,Natu,2,Normal,Tiny Bird Pokémon,2,Psychic, Flying,0.2032,2.0021400000000003,3,Synchronize,Early Bird,Magic Bounce,320,40,50,45,70,45,70,190.0,70.0,64.0,Medium Fast,1,Flying,,50.0,20.0,1.0,1.0,1.0,2.0,0.5,2.0,0.25,1.0,0.0,1.0,0.5,1.0,2.0,2.0,1.0,2.0,1.0,1.0
223,178,Xatu,2,Normal,Mystic Pokémon,2,Psychic, Flying,1.4986000000000002,15.01378,3,Synchronize,Early Bird,Magic Bounce,470,65,75,70,95,70,95,75.0,70.0,165.0,Medium Fast,1,Flying,,50.0,20.0,1.0,1.0,1.0,2.0,0.5,2.0,0.25,1.0,0.0,1.0,0.5,1.0,2.0,2.0,1.0,2.0,1.0,1.0
224,179,Mareep,2,Normal,Wool Pokémon,1,Electric,,0.6096,7.8088,2,Static,,Plus,280,55,40,40,65,45,35,235.0,70.0,56.0,Medium Slow,2,Field, Monster,50.0,20.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
225,180,Flaaffy,2,Normal,Wool Pokémon,1,Electric,,0.7874,13.31128,2,Static,,Plus,365,70,55,55,80,60,45,120.0,70.0,128.0,Medium Slow,2,Field, Monster,50.0,20.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
226,181,Ampharos,2,Normal,Light Pokémon,1,Electric,,1.397,61.55332000000001,2,Static,,Plus,510,90,75,85,115,90,55,45.0,70.0,230.0,Medium Slow,2,Field, Monster,50.0,20.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
227,181,Mega Ampharos,2,Normal,Light Pokémon,2,Electric, Dragon,1.397,61.55332000000001,1,Mold Breaker,,,610,90,95,105,165,110,45,45.0,70.0,275.0,Medium Slow,2,Field, Monster,50.0,20.0,1.0,0.5,0.5,0.25,0.5,2.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,0.5,2.0
228,182,Bellossom,2,Normal,Flower Pokémon,1,Grass,,0.4064,5.80666,2,Chlorophyll,,Healer,490,75,80,95,90,100,50,45.0,70.0,221.0,Medium Slow,1,Grass,,50.0,20.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
229,183,Marill,2,Normal,Aqua Mouse Pokémon,2,Water, Fairy,0.4064,8.507959999999999,3,Thick Fat,Huge Power,Sap Sipper,250,70,20,50,20,50,40,190.0,70.0,88.0,Fast,2,Fairy, Water 1,50.0,10.0,1.0,0.25,0.5,2.0,2.0,0.25,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,1.0,1.0
230,184,Azumarill,2,Normal,Aqua Rabbit Pokémon,2,Water, Fairy,0.7874,28.524820000000002,3,Thick Fat,Huge Power,Sap Sipper,420,100,50,80,60,80,50,75.0,70.0,189.0,Fast,2,Fairy, Water 1,50.0,10.0,1.0,0.25,0.5,2.0,2.0,0.25,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,1.0,1.0
231,185,Sudowoodo,2,Normal,Imitation Pokémon,1,Rock,,1.1938,38.036120000000004,3,Sturdy,Rock Head,Rattled,410,70,100,115,30,65,30,65.0,70.0,144.0,Medium Fast,1,Mineral,,50.0,20.0,0.5,0.5,2.0,1.0,2.0,1.0,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
232,186,Politoed,2,Normal,Frog Pokémon,1,Water,,1.0922,33.93196,3,Water Absorb,Damp,Drizzle,500,90,75,75,90,100,70,45.0,70.0,225.0,Medium Slow,1,Water 1,,50.0,20.0,1.0,0.5,0.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
233,187,Hoppip,2,Normal,Cottonweed Pokémon,2,Grass, Flying,0.4064,0.49940000000000007,3,Chlorophyll,Leaf Guard,Infiltrator,250,35,35,40,35,55,50,255.0,70.0,50.0,Medium Slow,2,Fairy, Grass,50.0,20.0,1.0,2.0,0.5,1.0,0.25,4.0,0.5,2.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
234,188,Skiploom,2,Normal,Cottonweed Pokémon,2,Grass, Flying,0.6096,0.9988000000000001,3,Chlorophyll,Leaf Guard,Infiltrator,340,55,45,50,45,65,80,120.0,70.0,119.0,Medium Slow,2,Fairy, Grass,50.0,20.0,1.0,2.0,0.5,1.0,0.25,4.0,0.5,2.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
235,189,Jumpluff,2,Normal,Cottonweed Pokémon,2,Grass, Flying,0.7874,3.0009400000000004,3,Chlorophyll,Leaf Guard,Infiltrator,460,75,55,70,55,95,110,45.0,70.0,207.0,Medium Slow,2,Fairy, Grass,50.0,20.0,1.0,2.0,0.5,1.0,0.25,4.0,0.5,2.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
236,190,Aipom,2,Normal,Long Tail Pokémon,1,Normal,,0.7874,11.5089,3,Run Away,Pickup,Skill Link,360,55,70,55,40,55,85,45.0,70.0,72.0,Fast,1,Field,,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
237,191,Sunkern,2,Normal,Seed Pokémon,1,Grass,,0.3048,1.80238,3,Chlorophyll,Solar Power,Early Bird,180,30,30,30,30,30,30,235.0,70.0,36.0,Medium Slow,1,Grass,,50.0,20.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
238,192,Sunflora,2,Normal,Sun Pokémon,1,Grass,,0.7874,8.507959999999999,3,Chlorophyll,Solar Power,Early Bird,425,75,75,55,105,85,30,120.0,70.0,149.0,Medium Slow,1,Grass,,50.0,20.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
239,193,Yanma,2,Normal,Clear Wing Pokémon,2,Bug, Flying,1.1938,38.036120000000004,3,Speed Boost,Compound Eyes,Frisk,390,65,65,45,75,45,95,75.0,70.0,78.0,Medium Fast,1,Bug,,50.0,20.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
240,194,Wooper,2,Normal,Water Fish Pokémon,2,Water, Ground,0.4064,8.507959999999999,3,Damp,Water Absorb,Unaware,210,55,45,45,25,25,15,255.0,70.0,42.0,Medium Fast,2,Field, Water 1,50.0,20.0,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0
241,195,Quagsire,2,Normal,Water Fish Pokémon,2,Water, Ground,1.397,75.0689,3,Damp,Water Absorb,Unaware,430,95,85,85,65,65,35,90.0,70.0,151.0,Medium Fast,2,Field, Water 1,50.0,20.0,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0
242,196,Espeon,2,Normal,Sun Pokémon,1,Psychic,,0.889,26.52268,2,Synchronize,,Magic Bounce,525,65,65,60,130,95,110,45.0,70.0,184.0,Medium Fast,1,Field,,87.5,35.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
243,197,Umbreon,2,Normal,Moonlight Pokémon,1,Dark,,0.9906000000000001,27.022080000000003,2,Synchronize,,Inner Focus,525,95,65,110,60,130,65,45.0,35.0,184.0,Medium Fast,1,Field,,87.5,35.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
244,198,Murkrow,2,Normal,Darkness Pokémon,2,Dark, Flying,0.508,2.10202,3,Insomnia,Super Luck,Prankster,405,60,85,42,85,42,91,30.0,35.0,81.0,Medium Slow,1,Flying,,50.0,20.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,1.0,2.0
245,199,Slowking,2,Normal,Royal Pokémon,2,Water, Psychic,2.0066,79.57258,3,Oblivious,Own Tempo,Regenerator,490,95,75,80,100,110,30,70.0,70.0,172.0,Medium Fast,2,Monster, Water 1,50.0,20.0,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0
246,199,Galarian Slowking,8,Normal,Hexpert Pokémon,2,Poison, Psychic,1.8034,79.57258,3,Curious Medicine,Own Tempo,Regenerator,490,95,65,80,110,110,30,70.0,70.0,,Medium Fast,2,Monster, Water 1,50.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5
247,200,Misdreavus,2,Normal,Screech Pokémon,1,Ghost,,0.7112,0.9988000000000001,1,Levitate,,,435,60,60,60,85,85,85,45.0,35.0,87.0,Fast,1,Amorphous,,50.0,25.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,0.5,1.0,2.0,1.0,2.0,1.0,1.0
248,201,Unown,2,Normal,Symbol Pokémon,1,Psychic,,0.508,5.00308,1,Levitate,,,336,48,72,48,72,48,48,225.0,70.0,118.0,Medium Fast,0,Undiscovered,,,40.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
249,202,Wobbuffet,2,Normal,Patient Pokémon,1,Psychic,,1.2954,28.524820000000002,2,Shadow Tag,,Telepathy,405,190,33,58,33,58,33,45.0,70.0,142.0,Medium Fast,1,Amorphous,,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
250,203,Girafarig,2,Normal,Long Neck Pokémon,2,Normal, Psychic,1.4986000000000002,41.53646,3,Inner Focus,Early Bird,Sap Sipper,455,70,80,65,90,65,85,60.0,70.0,159.0,Medium Fast,1,Field,,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.0,1.0,2.0,1.0,1.0
251,204,Pineco,2,Normal,Bagworm Pokémon,1,Bug,,0.6096,7.20498,2,Sturdy,,Overcoat,290,50,65,90,35,35,15,190.0,70.0,58.0,Medium Fast,1,Bug,,50.0,20.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
252,205,Forretress,2,Normal,Bagworm Pokémon,2,Bug, Steel,1.1938,125.91235999999999,2,Sturdy,,Overcoat,465,75,90,140,60,60,40,75.0,70.0,163.0,Medium Fast,1,Bug,,50.0,20.0,0.5,4.0,1.0,1.0,0.25,0.5,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5
253,206,Dunsparce,2,Normal,Land Snake Pokémon,1,Normal,,1.4986000000000002,14.010440000000001,3,Serene Grace,Run Away,Rattled,415,100,70,70,65,65,45,190.0,70.0,145.0,Medium Fast,1,Field,,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
254,207,Gligar,2,Normal,FlyScorpion Pokémon,2,Ground, Flying,1.0922,64.85844,3,Hyper Cutter,Sand Veil,Immunity,430,65,75,105,35,65,85,60.0,70.0,86.0,Medium Slow,1,Bug,,50.0,20.0,1.0,1.0,2.0,0.0,1.0,4.0,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
255,208,Steelix,2,Normal,Iron Snake Pokémon,2,Steel, Ground,9.1948,400.35990000000004,3,Rock Head,Sturdy,Sheer Force,510,75,85,200,55,65,30,25.0,70.0,179.0,Medium Fast,1,Mineral,,50.0,25.0,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5
256,208,Mega Steelix,2,Normal,Iron Snake Pokémon,2,Steel, Ground,10.490200000000002,740.6646800000001,1,Sand Force,,,610,75,125,230,55,95,30,25.0,70.0,214.0,Medium Fast,1,Mineral,,50.0,25.0,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5
257,209,Snubbull,2,Normal,Fairy Pokémon,1,Fairy,,0.6096,7.8088,3,Intimidate,Run Away,Rattled,300,60,80,50,40,40,30,190.0,70.0,60.0,Fast,2,Fairy, Field,25.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
258,210,Granbull,2,Normal,Fairy Pokémon,1,Fairy,,1.397,48.74598,3,Intimidate,Quick Feet,Rattled,450,90,120,75,60,60,45,75.0,70.0,158.0,Fast,2,Fairy, Field,25.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
259,211,Qwilfish,2,Normal,Balloon Pokémon,2,Water, Poison,0.508,3.9044,3,Poison Point,Swift Swim,Intimidate,440,65,95,85,55,55,85,45.0,70.0,88.0,Medium Fast,1,Water 2,,50.0,20.0,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
260,212,Scizor,2,Normal,Pincer Pokémon,2,Bug, Steel,1.8034,118.1081,3,Swarm,Technician,Light Metal,500,70,130,100,55,80,65,25.0,70.0,175.0,Medium Fast,1,Bug,,50.0,25.0,0.5,4.0,1.0,1.0,0.25,0.5,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5
261,212,Mega Scizor,2,Normal,Pincer Pokémon,2,Bug, Steel,2.0066,125.11332,1,Technician,,,600,70,150,140,65,100,75,25.0,70.0,210.0,Medium Fast,1,Bug,,50.0,25.0,0.5,4.0,1.0,1.0,0.25,0.5,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5
262,213,Shuckle,2,Normal,Mold Pokémon,2,Bug, Rock,0.6096,20.51626,3,Sturdy,Gluttony,Contrary,505,20,10,230,10,230,5,190.0,70.0,177.0,Medium Slow,1,Bug,,50.0,20.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
263,214,Heracross,2,Normal,Single Horn Pokémon,2,Bug, Fighting,1.4986000000000002,54.048700000000004,3,Swarm,Guts,Moxie,500,80,125,75,40,95,85,45.0,70.0,175.0,Slow,1,Bug,,50.0,25.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,4.0,2.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0
264,214,Mega Heracross,2,Normal,Single Horn Pokémon,2,Bug, Fighting,1.7018,62.55666,1,Skill Link,,,600,80,185,115,40,105,75,45.0,70.0,210.0,Slow,1,Bug,,50.0,25.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,4.0,2.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0
265,215,Sneasel,2,Normal,Sharp Claw Pokémon,2,Dark, Ice,0.889,28.02542,3,Inner Focus,Keen Eye,Pickpocket,430,55,95,55,35,75,115,60.0,35.0,86.0,Medium Slow,1,Field,,50.0,20.0,1.0,2.0,1.0,1.0,1.0,0.5,4.0,1.0,1.0,1.0,0.0,2.0,2.0,0.5,1.0,0.5,2.0,2.0
266,216,Teddiursa,2,Normal,Little Bear Pokémon,1,Normal,,0.6096,8.807599999999999,3,Pickup,Quick Feet,Honey Gather,330,60,80,50,50,50,40,120.0,70.0,66.0,Medium Fast,1,Field,,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
267,217,Ursaring,2,Normal,Hibernator Pokémon,1,Normal,,1.8034,125.91235999999999,3,Guts,Quick Feet,Unnerve,500,90,130,75,75,75,55,60.0,70.0,175.0,Medium Fast,1,Field,,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
268,218,Slugma,2,Normal,Lava Pokémon,1,Fire,,0.7112,35.03064,3,Magma Armor,Flame Body,Weak Armor,250,40,40,40,70,40,20,190.0,70.0,50.0,Medium Fast,1,Amorphous,,50.0,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
269,219,Magcargo,2,Normal,Lava Pokémon,2,Fire, Rock,0.7874,55.0475,3,Magma Armor,Flame Body,Weak Armor,430,60,50,120,90,80,30,75.0,70.0,151.0,Medium Fast,1,Amorphous,,50.0,20.0,0.5,0.25,4.0,1.0,1.0,0.5,2.0,0.5,4.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
270,220,Swinub,2,Normal,Pig Pokémon,2,Ice, Ground,0.4064,6.50582,3,Oblivious,Snow Cloak,Thick Fat,250,50,50,40,30,30,50,225.0,70.0,50.0,Slow,1,Field,,50.0,20.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
271,221,Piloswine,2,Normal,Swine Pokémon,2,Ice, Ground,1.0922,55.85108,3,Oblivious,Snow Cloak,Thick Fat,450,100,100,80,60,60,50,75.0,70.0,158.0,Slow,1,Field,,50.0,20.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
272,222,Corsola,2,Normal,Coral Pokémon,2,Water, Rock,0.6096,5.00308,3,Hustle,Natural Cure,Regenerator,410,65,55,95,65,95,35,60.0,70.0,144.0,Fast,2,Water 1, Water 3,25.0,20.0,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
273,222,Galarian Corsola,2,Normal,Coral Pokémon,1,Ghost,,0.6096,0.49940000000000007,2,Weak Armor,,Cursed Body,410,60,55,100,65,100,30,,,,Fast,2,Water 1, Water 3,,20.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,1.0,2.0,1.0,1.0
274,223,Remoraid,2,Normal,Jet Pokémon,1,Water,,0.6096,12.01284,3,Hustle,Sniper,Moody,300,35,65,35,65,35,65,190.0,70.0,60.0,Medium Fast,2,Water 1, Water 2,50.0,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
275,224,Octillery,2,Normal,Jet Pokémon,1,Water,,0.889,28.524820000000002,3,Suction Cups,Sniper,Moody,480,75,105,75,105,75,45,75.0,70.0,168.0,Medium Fast,2,Water 1, Water 2,50.0,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
276,225,Delibird,2,Normal,Delivery Pokémon,2,Ice, Flying,0.889,16.012580000000003,3,Vital Spirit,Hustle,Insomnia,330,45,55,45,65,45,75,45.0,70.0,116.0,Fast,2,Field, Water 1,50.0,20.0,1.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.5,4.0,1.0,1.0,1.0,2.0,1.0
277,226,Mantine,2,Normal,Kite Pokémon,2,Water, Flying,2.1082,220.19908,3,Swift Swim,Water Absorb,Water Veil,485,85,40,70,80,140,70,25.0,70.0,170.0,Slow,1,Water 1,,50.0,25.0,1.0,0.5,0.5,4.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0
278,227,Skarmory,2,Normal,Armor Bird Pokémon,2,Steel, Flying,1.7018,50.543820000000004,3,Keen Eye,Sturdy,Weak Armor,465,65,80,140,40,70,70,25.0,70.0,163.0,Slow,1,Flying,,50.0,25.0,0.5,2.0,1.0,2.0,0.25,1.0,1.0,0.0,0.0,0.5,0.5,0.25,1.0,1.0,0.5,1.0,0.5,0.5
279,228,Houndour,2,Normal,Dark Pokémon,2,Dark, Fire,0.6096,10.80974,3,Early Bird,Flash Fire,Unnerve,330,45,60,30,80,50,65,120.0,35.0,66.0,Slow,1,Field,,50.0,20.0,1.0,0.5,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,0.5,1.0
280,229,Houndoom,2,Normal,Dark Pokémon,2,Dark, Fire,1.397,35.03064,3,Early Bird,Flash Fire,Unnerve,500,75,90,50,110,80,95,45.0,35.0,175.0,Slow,1,Field,,50.0,20.0,1.0,0.5,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,0.5,1.0
281,229,Mega Houndoom,2,Normal,Dark Pokémon,2,Dark, Fire,1.9050000000000002,49.54502,1,Solar Power,,,600,75,90,90,140,90,115,45.0,35.0,210.0,Slow,1,Field,,50.0,20.0,1.0,0.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,0.5,1.0
282,230,Kingdra,2,Normal,Dragon Pokémon,2,Water, Dragon,1.8034,152.1354,3,Swift Swim,Sniper,Damp,540,75,95,95,95,95,85,45.0,70.0,243.0,Medium Fast,2,Dragon, Water 1,50.0,20.0,1.0,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,2.0
